otu_id	domain	phylum	class	order	family	genus
otu_533	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
otu_534	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	marine_group
otu_535	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
otu_536	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium
otu_537	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Proteiniphilum
otu_538	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola
otu_539	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Cyanobacterium
otu_540	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Candidatus_Entotheonella
otu_541	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
otu_542	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Flexithrix
otu_543	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Carboxylicivirga
otu_544	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
otu_545	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
otu_546	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
otu_547	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Ezakiella
otu_548	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
otu_549	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Nonlabens
otu_550	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
otu_551	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
otu_552	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
